Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,ROE,Debt,Revenue Growth,Sector,Industry,Currency
TRV,"The Travelers Companies, Inc.",79761178624.0,10.274315,1.34,0.26511,9068000256.0,0.003,Financial Services,Insurance - Property & Casualty,USD
NXPI,NXP Semiconductors N.V.,58623127552.0,46.40319,1.77,0.27921,10976000000.0,0.195,Technology,Semiconductors,USD
JCI,Johnson Controls International plc,93432586240.0,43.449295,1.09,0.14332,9475000320.0,0.093,Industrials,Building Products & Equipment,USD
GWW,"W.W. Grainger, Inc.",60825841664.0,32.806847,0.77,0.46091,2796999936.0,0.103,Industrials,Industrial Distribution,USD
NSC,Norfolk Southern Corporation,76409520128.0,29.051239,1.61,0.16985,17150000128.0,0.114,Industrials,Railroads,USD
PSA,Public Storage,60912726016.0,31.124046,3.68,0.21929,10180214784.0,0.033,Real Estate,REIT - Industrial,USD
SLB,SLB N.V.,74303627264.0,24.421951,2.38,0.12909001,12810000384.0,0.05,Energy,Oil & Gas Equipment & Services,USD
AMP,"Ameriprise Financial, Inc.",49439911936.0,13.782036,1.23,0.63432,4023000064.0,0.116,Financial Services,Asset Management,USD
ALL,The Allstate Corporation,68005457920.0,5.8433976,1.64,0.45221,7491999744.0,0.03,Financial Services,Insurance - Property & Casualty,USD
FICO,Fair Isaac Corporation,23648761856.0,31.69233,,,5598009856.0,0.257,Technology,Software - Application,USD
MNST,Monster Beverage Corporation,92392431616.0,45.637684,,0.26654,94469000.0,0.269,Consumer Defensive,Beverages - Non-Alcoholic,USD
PAYX,"Paychex, Inc.",41863868416.0,24.06953,4.01,,4630300160.0,0.125,Technology,Software - Application,USD
CHTR,"Charter Communications, Inc.",20465963008.0,3.9503124,,0.27201998,96710000640.0,-0.017,Communication Services,Telecom Services,USD
AEP,"American Electric Power Company, Inc.",68757389312.0,21.813473,2.97,0.10130999,53525000192.0,0.07,Utilities,Utilities - Regulated Electric,USD
ROST,"Ross Stores, Inc.",80981188608.0,35.25838,0.71,0.38981998,4723149824.0,0.206,Consumer Cyclical,Apparel Retail,USD
PWR,"Quanta Services, Inc.",103956447232.0,79.20505,0.07,0.15337,6603134976.0,0.411,Industrials,Engineering & Construction,USD
CMI,Cummins Inc.,90328334336.0,33.41526,1.38,0.21114,7695000064.0,0.094,Industrials,Specialty Industrial Machinery,USD
AXON,"Axon Enterprise, Inc.",48841637888.0,243.35744,,0.06765,1840359040.0,0.337,Industrials,Aerospace & Defense,USD
VST,Vistra Corp.,47522459648.0,23.5292,0.64,0.42898,20566999040.0,0.434,Utilities,Utilities - Independent Power Producers,USD
URI,"United Rentals, Inc.",72571314176.0,27.140245,0.71,0.28895,15384999936.0,0.118,Industrials,Rental & Leasing Services,USD
MSCI,MSCI Inc.,41407737856.0,30.988577,1.43,,6544200192.0,0.122,Financial Services,Financial Data & Stock Exchanges,USD
LULU,lululemon athletica inc.,13971106816.0,9.962348,,0.32027,2136007936.0,0.043,Consumer Cyclical,Apparel Retail,USD
O,Realty Income Corporation,58210844672.0,51.16803,5.09,0.02831,30294552576.0,0.12,Real Estate,REIT - Retail,USD
PSX,Phillips 66,81317642240.0,20.021719,2.47,0.14547,27124000768.0,0.069,Energy,Oil & Gas Refining & Marketing,USD
AIG,"American International Group, Inc.",42315755520.0,14.051056,2.55,0.07723,9155999744.0,0.014,Financial Services,Insurance - Diversified,USD
FANG,"Diamondback Energy, Inc.",52673105920.0,197.09474,2.29,0.034930002,12613999616.0,0.581,Energy,Oil & Gas E&P,USD
D,"Dominion Energy, Inc.",60032040960.0,23.78223,3.86,0.08281,53931999232.0,0.176,Utilities,Utilities - Regulated Electric,USD
HWM,Howmet Aerospace Inc.,116471291904.0,67.384254,0.2,0.33818,4848000000.0,0.191,Industrials,Aerospace & Defense,USD
DHI,"D.R. Horton, Inc.",42293633024.0,14.066047,1.23,0.12632,7187899904.0,0.0,Consumer Cyclical,Residential Construction,USD
KR,The Kroger Co.,34654392320.0,32.886627,2.49,0.13779001,24192000000.0,0.022,Consumer Defensive,Grocery Stores,USD
NDAQ,"Nasdaq, Inc.",52943536128.0,27.6137,1.23,0.16521999,9317000192.0,0.149,Financial Services,Financial Data & Stock Exchanges,USD
OXY,Occidental Petroleum Corporation,53810036736.0,75.139305,1.82,0.04053,16611000320.0,-0.083,Energy,Oil & Gas E&P,USD
